Student,Days active,% active,Messages posted,% Convo ,Contribution,Score_change,NLG
S1,21,0.4118,9,0.0136,Low,0.1019,0.4583
S2,18,0.3529,30,0.0453,Moderate,0.0333,0.0933
S3,46,0.902,166,0.2508,High,0.3556,0.9057
S4,23,0.451,139,0.21,High,0.137,0.5522
S5,10,0.1961,0,0,Low,0.0852,0.2788
S6,5,0.098,2,0.003,Low,-0.0009,-0.0018
S7,25,0.4902,32,0.0483,Moderate,0.0231,0.2294
S8,11,0.2157,2,0.003,Low,0.1472,0.4877
S9,41,0.8039,181,0.2734,High,0.3259,0.9096
S10,12,0.2353,8,0.0121,Low,0.1463,0.2782
S11,30,0.5882,35,0.0529,Moderate,0.0324,0.1628
S12,45,0.8824,29,0.0438,Moderate,0.1185,0.2222
S13,46,0.902,29,0.0438,Moderate,0.0083,0.0235
