Type,Theme,Module,Count,Percent,Percentage,Count_SBP,Percentage_SBP,Percent_SBP,Proportion_SBP,Count_CCLE_SBP,Proportion_CCLE_SBP
Adaptive,Problem solving,Average,123,35.65%,0.3565,78,0.241486068,24.15%,0.719927971,39.85714286,0.832628624
Adaptive,Support seeking,Average,67,19.42%,0.1942,87,0.269349845,26.93%,0.81492597,40,0.837049096
Adaptive,Information seeking,Average,30,8.70%,0.087,56,0.173374613,17.34%,0.51372549,29.57142857,0.614384872
Adaptive,Self-reliance/emotional regulation,Average,12,3.48%,0.0348,18,0.055727554,5.57%,0.172188876,11.57142857,0.241802955
Adaptive,Cognitive restructuring,Average,53,15.36%,0.1536,5,0.015479876,1.55%,0.046058423,10.57142857,0.219917045
Adaptive or maladaptive,Accommodation,Average,12,3.48%,0.0348,25,0.077399381,7.74%,0.240216086,9.857142857,0.206487966
Adaptive or maladaptive,Negotiation,Average,34,9.86%,0.0986,7,0.021671827,2.17%,0.06422569,5.142857143,0.106250779
Maladaptive,Escape,Average,1,0.29%,0.0029,3,0.009287926,0.93%,0.029931973,1.142857143,0.02407883
Adaptive or maladaptive,Distraction,Average,0,0.00%,0,8,0.024767802,2.48%,0.079831933,3,0.063623901
Maladaptive,Isolation,Average,1,0.29%,0.0029,4,0.012383901,1.24%,0.039015606,2,0.041512754
Maladaptive,Rumination,Average,6,1.74%,0.0174,0,0,0.00%,0,0.857142857,0.018377326
Maladaptive,Helplessness,Average,5,1.45%,0.0145,24,0.074303406,7.43%,0.234293717,11.57142857,0.245188938
Maladaptive,Delegation,Average,0,0.00%,0,6,0.018575851,1.86%,0.059863946,1.428571429,0.030039133
Maladaptive,Opposition,Average,1,0.29%,0.0029,2,0.00619195,0.62%,0.020408163,0.142857143,0.00310559
Adaptive,Problem solving,M1,35,59.32%,0.5932,16,0.271186441,27.12%,0.941176471,38,0.775510204
Adaptive,Support seeking,M1,7,11.86%,0.1186,15,0.254237288,25.42%,0.882352941,35,0.714285714
Adaptive,Information seeking,M1,12,20.34%,0.2034,13,0.220338983,22.03%,0.764705882,42,0.857142857
Adaptive,Self-reliance/emotional regulation,M1,1,1.69%,0.0169,3,0.050847458,5.08%,0.176470588,22,0.448979592
Adaptive,Cognitive restructuring,M1,2,3.39%,0.0339,2,0.033898305,3.39%,0.117647059,15,0.306122449
Adaptive or maladaptive,Accommodation,M1,1,1.69%,0.0169,2,0.033898305,3.39%,0.117647059,10,0.204081633
Adaptive or maladaptive,Negotiation,M1,0,0.00%,0,2,0.033898305,3.39%,0.117647059,10,0.204081633
Maladaptive,Escape,M1,0,0.00%,0,0,0,0.00%,0,1,0.020408163
Adaptive or maladaptive,Distraction,M1,0,0.00%,0,1,0.016949153,1.69%,0.058823529,1,0.020408163
Maladaptive,Isolation,M1,1,1.69%,0.0169,1,0.016949153,1.69%,0.058823529,1,0.020408163
Maladaptive,Rumination,M1,0,0.00%,0,0,0,0.00%,0,1,0.020408163
Maladaptive,Helplessness,M1,0,0.00%,0,4,0.06779661,6.78%,0.235294118,7,0.142857143
Maladaptive,Delegation,M1,0,0.00%,0,0,0,0.00%,0,4,0.081632653
Maladaptive,Opposition,M1,0,0.00%,0,0,0,0.00%,0,0,0
Adaptive,Problem solving,M2,19,34.55%,0.3455,16,0.296296296,29.63%,0.941176471,37,0.74
Adaptive,Support seeking,M2,15,27.27%,0.2727,16,0.296296296,29.63%,0.941176471,40,0.8
Adaptive,Information seeking,M2,7,12.73%,0.1273,13,0.240740741,24.07%,0.764705882,39,0.78
Adaptive,Self-reliance/emotional regulation,M2,3,5.45%,0.0545,3,0.055555556,5.56%,0.176470588,10,0.2
Adaptive,Cognitive restructuring,M2,9,16.36%,0.1636,0,0,0.00%,0,17,0.34
Adaptive or maladaptive,Accommodation,M2,0,0.00%,0,4,0.074074074,7.41%,0.235294118,8,0.16
Adaptive or maladaptive,Negotiation,M2,2,3.64%,0.0364,2,0.037037037,3.70%,0.117647059,9,0.18
Maladaptive,Escape,M2,0,0.00%,0,0,0,0.00%,0,0,0
Adaptive or maladaptive,Distraction,M2,0,0.00%,0,0,0,0.00%,0,3,0.06
Maladaptive,Isolation,M2,0,0.00%,0,0,0,0.00%,0,3,0.06
Maladaptive,Rumination,M2,0,0.00%,0,0,0,0.00%,0,0,0
Maladaptive,Helplessness,M2,0,0.00%,0,0,0,0.00%,0,3,0.06
Maladaptive,Delegation,M2,0,0.00%,0,0,0,0.00%,0,0,0
Maladaptive,Opposition,M2,0,0.00%,0,0,0,0.00%,0,0,0
Adaptive,Problem solving,M3,17,34.00%,0.34,13,0.295454545,29.55%,0.866666667,45,0.918367347
Adaptive,Support seeking,M3,11,22.00%,0.22,11,0.25,25.00%,0.733333333,43,0.87755102
