student,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18
S1,0.5,0.5,1,0.666666667,1,1,1,0.666666667,1,1,1,0.5,1,1,1,1,1,1
S2,0.75,1,0.8,0.333333333,0.666666667,0.666666667,1,1,0.5,1,0,0.5,1,0,0.2,1,1,0.75
S3,1,1,1,1,1,1,1,0.333333333,1,1,1,1,1,1,1,1,1,1
S4,1,1,1,0.666666667,1,1,1,1,0.5,1,0.333333333,0.75,1,1,1,1,1,0.75
S5,0.75,1,0.8,0.333333333,1,0.666666667,1,0.333333333,0.5,1,1,0.5,1,1,0.4,1,1,0.75
S6,0.5,1,1,0.666666667,0,0.666666667,0,0.666666667,0.5,0,0.333333333,0.25,0,0,0.2,1,1,0.75
S7,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.6,1,1,1
S8,1,1,0.8,0.666666667,0.833333333,1,1,0.666666667,0.5,0,1,1,1,1,1,1,1,0.75
S9,1,1,1,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75
S10,0.75,1,1,0,0.333333333,1,0,1,1,0,1,0.5,0,0,1,0.833333333,1,0.75
S11,1,1,1,0.333333333,1,1,1,1,0.5,1,0.666666667,0.5,1,0,1,1,1,1
S12,0.5,0,0.6,0.666666667,0.166666667,0.333333333,1,1,1,1,0.666666667,0.5,0,0,0.6,1,1,0.5
S13,0.75,0,1,0,1,0.666666667,1,0.333333333,0.5,1,0.666666667,0.5,0,1,0.6,1,1,0.75
