,genes,logFC,AveExpr,t,P.Value,adj.P.Val,B
DDX3Y,DDX3Y,-12.85340325,-9.513891643,-33.8197461,0.999417422,0.04,-7.740077806
ZFY,ZFY,10.95749138,18.27044968,6.254542095,0.996118223,0.04,-6.637065222
EIF1AY,EIF1AY,-2.050649058,2.575810408,2.132030151,0.960891361,0.04,-7.211381106
TTTY15,TTTY15,10.01106713,10.32689122,-93.87621309,0.925437477,0.999417422,-6.639574935
RPS4Y1,RPS4Y1,-11.08589356,3.70382302,13.73562621,0.795750354,0.997992834,-7.791522746
UTY,UTY,-12.99522623,-6.088711761,53.05521189,0.473173719,0.999417422,-6.858234217
FAM224B,FAM224B,10.03600674,-6.607314307,46.18704421,0.996118223,0.93574385,-6.647466043
XIST,XIST,1.825160637,7.869719638,30.08299152,0.884146563,0.999417422,-7.007460595
USP9Y,USP9Y,-12.0043892,8.522538992,15.91049064,0.999417422,0.999417422,-6.607388282
KDM5D,KDM5D,-8.310314022,-11.79293793,-91.88746378,0.996118223,0.04,-7.149414172
PCDH11Y,PCDH11Y,-8.91955372,14.97117855,55.53259413,0.999417422,0.999417422,-7.080413177
FAM224A,FAM224A,-11.91012974,13.40073926,6.041814381,0.999417422,0.999417422,-6.876566743
LINC00278,LINC00278,7.186481818,-8.406111467,-63.75435725,0.999417422,0.67021544,-8.012690887
EIF4A1P2,EIF4A1P2,10.05943864,-3.085922972,-45.96006158,0.912870561,0.999417422,-7.735797359
PSMA6P1,PSMA6P1,-7.949548481,4.056899329,-56.52511132,0.999417422,0.96241078,-6.834361317
CD24P4,CD24P4,-14.64153043,15.38845864,-6.434842979,0.999417422,0.999417422,-7.887510756
PRKY,PRKY,11.05215486,11.16753096,33.27519717,0.999417422,0.782121642,-6.184546091
VDAC1P6,VDAC1P6,9.978784777,-5.765895111,11.75419987,0.999417422,0.999417422,-6.883455022
TTTY10,TTTY10,14.96676656,-8.420311905,59.15618101,0.999417422,0.919937463,-6.460277834
ZFY-AS1,ZFY-AS1,-7.104690585,0.323964372,90.03049398,0.925145442,0.951461574,-8.166182837
ANOS2P,ANOS2P,15.02679983,14.80729883,47.52087007,0.999417422,0.999417422,-6.352801763
KDM6A,KDM6A,5.883275732,-12.27330826,-81.49692375,0.980476868,0.999417422,-7.643497332
AC011297.1,AC011297.1,5.937986181,10.92949116,-55.15384741,0.999417422,0.182110885,-6.857435796
TSIX,TSIX,4.002274414,10.57208697,-21.96486393,0.999417422,0.997256012,-7.748935292
TTTY14,TTTY14,12.96963707,-11.3633882,3.905704851,0.999417422,0.839844633,-7.816527069
KDM5C,KDM5C,0.010079445,-11.34573747,-64.94579295,0.996118223,0.996118223,-6.735616112
LINC00266-4P,LINC00266-4P,6.072860719,-9.669629089,36.9057551,0.984994828,0.999417422,-7.074963562
GYG2P1,GYG2P1,6.023286273,11.13820415,92.34040331,0.999561975,0.9619653,-7.639738492
NLGN4Y,NLGN4Y,7.908440876,7.288473229,7.603539563,0.754008766,0.999417422,-7.389332804
TXLNGY,TXLNGY,-6.035378005,-7.991159263,-48.15217388,0.995550961,0.999417422,-7.295659444
DDX3X,DDX3X,6.712529261,-0.049500085,90.3950288,0.990228774,0.993863613,-8.197948363
AC010737.1,AC010737.1,11.93633955,-5.395866745,40.41791481,0.996118223,0.999417422,-6.740626667
SMC1A,SMC1A,-13.92750777,7.479379961,-22.48074922,0.668700559,0.945044831,-7.271431806
EIF2S3,EIF2S3,13.75492803,19.1410269,-82.26097205,0.999417422,0.996118223,-6.639814089
UBA1,UBA1,9.031385824,-5.740865961,-95.59360863,0.996118223,0.999417422,-6.631163384
ZFX,ZFX,4.964072367,-3.006377003,-13.56801044,0.415844829,0.04,-6.953800815
PUDP,PUDP,-0.185857259,4.527059773,-32.6418009,0.999417422,0.04,-6.735869168
EIF1AX,EIF1AX,2.022928545,-0.385871175,-79.91108629,0.709404868,0.04,-6.900723394
EIF1AXP1,EIF1AXP1,7.133606245,6.310506816,-12.77305572,0.996118223,0.04,-7.105013647
BCLAF3,BCLAF3,6.925179313,-1.821545607,-56.31383842,0.987856854,0.04,-7.859795014
CD99,CD99,12.99355853,7.117095925,-55.20479903,0.999417422,0.04,-7.264278374
STS,STS,7.889963392,5.505798124,-99.48350816,0.999417422,0.04,-5.979653584
VAMP7,VAMP7,10.00791119,15.41991039,77.1218354,0.999417422,0.04,-7.790111437
ZNF444,ZNF444,14.96075635,16.84282177,-78.07046133,0.999417422,0.04,-5.770857723
KDM5C-IT1,KDM5C-IT1,9.033852778,2.336540138,84.20688939,0.999417422,0.04,-7.547240515
VDAC1P1,VDAC1P1,13.04162738,-1.09982607,-9.139837428,0.93574385,0.04,-6.793023823
CLDN7,CLDN7,-1.950584906,15.07441546,-13.99644921,0.651533298,0.04,-7.112164843
CYP2C18,CYP2C18,4.062753383,16.2295084,-50.57282926,0.999417422,0.04,-7.80637224
CA5B,CA5B,5.070943262,-2.301007469,44.58482506,0.999417422,0.04,-7.124217604
MBTPS2,MBTPS2,5.185739152,1.899307339,-65.87223987,0.999417422,0.999417422,-5.926487561
INE1,INE1,8.042464687,-1.346048373,-47.83074147,0.999417422,0.990228774,-7.02405562
PSG9,PSG9,4.920265123,5.669359522,53.7744593,0.782222027,0.415844829,-8.113725944
ELL2,ELL2,-1.190220899,9.6001631,-71.46712847,0.999417422,0.637370956,-7.735813211
PLEKHH1,PLEKHH1,-4.071864658,-11.38432604,18.41505736,0.999417422,0.999417422,-6.014792294
CEACAM8,CEACAM8,6.996383693,2.310979595,-44.04399365,0.999561975,0.999417422,-6.944408742
HSD17B10,HSD17B10,13.97376826,-14.56666951,74.88416147,0.980161468,0.999417422,-7.829093596
OR2T10,OR2T10,-13.93398944,5.22702965,64.30860164,0.996118223,0.997256012,-7.80353146
KIAA1522,KIAA1522,-2.879915042,-12.39340327,-0.541832264,0.961370225,0.989572905,-7.437309603
NAA10,NAA10,-5.133156182,-1.45620839,85.27045296,0.967110251,0.999417422,-7.364512117
EIF2S3B,EIF2S3B,-13.01848137,0.650921588,16.68905994,0.999417422,0.997256012,-7.596179361
PLEKHO2,PLEKHO2,4.931561039,-9.728362486,-42.6893235,0.817052678,0.997256012,-7.788909913
ALDH3B2,ALDH3B2,-7.033513456,5.489919786,98.76389735,0.999417422,0.999561975,-7.596308204
ZNF300,ZNF300,14.91418737,-8.555073756,80.49540967,0.999417422,0.999417422,-7.250079671
RF01518,RF01518,8.704817873,-13.57317488,59.22023391,0.999417422,0.472308443,-7.640399375
LINC00632,LINC00632,13.60705943,13.76863706,0.239546278,0.999417422,0.946245899,-5.480730224
JPX,JPX,9.831044172,-0.835097622,-41.81109828,0.999417422,0.890414133,-4.591039977
RTN4R,RTN4R,-4.990564391,5.880424594,85.13295317,0.999417422,0.999417422,-7.258339535
SPSB2,SPSB2,-13.04221997,21.32444502,-48.06952457,0.98700787,0.999417422,-7.180675311
RAB36,RAB36,-1.035837385,1.388493327,44.29080027,0.996118223,0.999417422,-5.709902003
HMGN4,HMGN4,-1.158144103,-4.707963836,-62.40751189,0.999417422,0.999417422,-7.88327275
RPS4X,RPS4X,10.38183835,14.97477249,98.79960747,0.996118223,0.973950195,-4.811402441
MIR4767,MIR4767,-6.105450848,6.331158479,-11.23075761,0.999417422,0.714178612,-7.548963739
NPFFR2,NPFFR2,-7.966168942,-13.13178975,-3.723690179,0.999723996,0.996118223,-8.123850748
ASMTL,ASMTL,15.04097492,14.56701665,83.22826697,0.999417422,0.999417422,-7.231484994
AKR1C7P,AKR1C7P,-11.97896847,-7.335106361,-58.69970072,0.999417422,0.999417422,-6.452123919
