Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Iteration,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q177_I am 18 years or older and I agree to participate in this study.,Q176_3_Q176 - Date,Q115_1_Please respond to each of the following statements. - Research makes me anxious.,Q115_2_Please respond to each of the following statements. - I feel insecure concerning the analysis of research data.,Q115_3_Please respond to each of the following statements. - Research scares me.,Q115_4_Please respond to each of the following statements. - Research is stressful.,Q115_5_Please respond to each of the following statements. - Research makes me nervous.,Q115_6_Please respond to each of the following statements. - Research is complicated.,Q115_7_Please respond to each of the following statements. - Research is difficult.,Q115_8_Please respond to each of the following statements. - Research is a complex subject.,"Q135_Please indicate how confident you are in your ability to use technical science skills (use of tools, instruments, and/or techniques)",Q137_Please indicate how confident you are in your ability to generate a research question to answer,Q139_Please indicate how confident you are in your ability to figure out what data/observations to collect and how to collect them,Q141_Please indicate how confident you are in your ability to create explanations for the results of the study,Q143_Please indicate how confident you are in your ability to use scientific literature and/or reports to guide research,Q145_Please indicate how confident you are in your ability to develop theories (integrate and coordinate results from multiple studies),Q161_A person who thinks it is valuable to conduct research that builds on the world's scientific knowledge,Q163_A person who feels discovering something new in the sciences is thrilling,Q165_A person who thinks discussing new theories and ideas between scientists is important,Q167_A person who thinks that scientific research can solve many of today's world challenges,"Q149_""I have a strong sense of belonging to the community of scientists""","Q151_""I derive great personal satisfaction from working on a team that is doing important research""","Q153_""I have come to think of myself as a scientist""","Q155_""I feel like I belong in the field of science""","Q157_""The daily work of a scientist is appealing to me""","Q48_To what extent do you intend to pursue a career in science, but not medicine?",Q52_To what extent do you intend to pursue a science-related research career?,Q123_I most closely identify as - Selected Choice,"Q123_3_TEXT_I most closely identify as - a gender not listed, please describe - Text",Q125_I most closely identify as - Selected Choice,"Q125_8_TEXT_I most closely identify as - Other, please describe - Text","Q127_What is your parents' or your guardians' highest completed level of education? If you have more than one parent, and they have different levels of education, choose the higher of the two.",Q129_1_Please write in your parent or guardian's occupation - Parent or guardian 1,Q129_2_Please write in your parent or guardian's occupation - Parent or guardian 2,Q126_What is your current GPA?,Q131_What is your major?,Q133_What year are you in college?,Q135_Have you participated in an undergraduate research experience? (e.g. doing research in a faculty member's lab?),Q131_Please describe the main project that you worked on during your undergraduate research experience.,Q137_Do you plan to do research after you graduate?
10/11/2022 11:54,10/11/2022 11:56,100,156,TRUE,10/11/2022 11:56,1,R_2tMvZ8agwVLIMcn,,,,,37.6403,-122.0667,anonymous,EN,Yes,11-Oct-22,,,,,,,,,4,3,3,4,4,3,Like me,Like me,Like me,Like me,3,4,2,4,4,"Definitely will
10
","Definitely will
10
",a woman,,White/Caucasian,,"Bachelor's degree (e.g. BA, BS)",Transportation Dispatcher,Director of Operations,3.56,Neuroscience,4th year,No,,Yes
10/11/2022 11:51,10/11/2022 11:56,100,300,TRUE,10/11/2022 11:56,1,R_ZlTsTgHLH13wVq1,,,,,35.1712,-80.7939,anonymous,EN,Yes,11-Oct-22,,,,,,,,,"absolutely confident
5
",3,4,4,"absolutely confident
5
",4,Very much like me,Very much like me,Very much like me,Very much like me,"Strongly agree
5","Strongly agree

5","Strongly agree
5","Strongly agree
5","Strongly agree
5","Definitely will
10
",5,non-binary,,White/Caucasian,,"Bachelor's degree (e.g. BA, BS)",Accounting,Antique restoration,4,Biological Sciences (Genetic Cell &Developmental Bio) Minor in Data Science,5th year or more,Yes,"Too many to list. I have a previous BS and was in wet labs for all 4 years / in summer research programs. I currently am in the ACE Scholar program as part on the Expressions team, in addition to the genetic research experience ",Yes
10/11/2022 12:13,10/11/2022 12:20,100,375,TRUE,10/11/2022 12:20,1,R_1FyordqZh281Mkj,,,,,33.6563,-112.1706,anonymous,EN,Yes,10/11/2022,,,,,,,,,4,3,4,4,"absolutely confident
5
",3,Very much like me,Like me,Very much like me,Very much like me,"Strongly agree
5","Strongly agree

5",4,4,4,9,9,a man,,White/Caucasian,,High school graduate- high school diploma or the equivalent (e.g. GED),Systems Administrator,Housewife; Antiques Dealer,3.31,"Biological Sciences (Genetics, Cell, and Developmental Biology), BS",5th year or more,No,,Yes
10/11/2022 12:19,10/11/2022 12:22,100,133,TRUE,10/11/2022 12:22,1,R_1lmIBCHRwrB37Dw,,,,,33.0313,-116.8579,anonymous,EN,Yes,10/11/2022,,,,,,,,,"absolutely confident
5
","absolutely confident
5
","absolutely confident
5
","absolutely confident
5
","absolutely confident
5
","absolutely confident
5
",Very much like me,Very much like me,Very much like me,Very much like me,"Strongly agree
5","Strongly agree

5","Strongly agree
5","Strongly agree
5","Strongly agree
5","Definitely will
10
","Definitely will
10
",a woman,,"Hispanic, Latino, or Spanish origin",,Doctoral degree (e.g. PhD),Pharmacy technician ,Doctor in psychology ,2.8,Biology ,4th year,No,,Yes
10/11/2022 14:51,10/11/2022 15:02,100,671,TRUE,10/11/2022 15:02,1,R_1q4cB2VhIGHsfWh,,,,,35.7109,-78.6594,anonymous,EN,Yes,10/11/2022,,,,,,,,,4,4,"absolutely confident
5
",4,"absolutely confident
5
",4,Very much like me,Very much like me,Very much like me,Very much like me,"Strongly agree
5","Strongly agree

5","Strongly agree
5","Strongly agree
5","Strongly agree
5",5,7,a woman,,Black or African American,,Doctoral degree (e.g. PhD),deceased,deceased,3.51,Neuroscience,4th year,Yes,I am currently working in the ACE scholars outreach team and language of cancer studying cancer evolution. I have research experience in biology education. I am participating in the L'SPACE NASA program. ,Unsure
10/11/2022 15:08,10/11/2022 15:14,100,357,TRUE,10/11/2022 15:14,1,R_1d09ffqyPKFGFrZ,,,,,33.4917,-111.9837,anonymous,EN,Yes,10/11/2022,,,,,,,,,"not at all confident
1
",4,3,3,4,2,Very much like me,Very much like me,Very much like me,Very much like me,3,"Strongly agree

5",3,3,4,7,7,a man,,Asian,,"Professional degree (e.g. MD, DDS, DVM, JD)",Physician,I.T. program coordinator/manager,4,"Health Informatics MAS, Computational Life Science Grad Certificate",5th year or more,Yes,Gene therapy for Sickle Cell Disease,Yes
10/11/2022 16:10,10/11/2022 16:17,100,418,TRUE,10/11/2022 16:17,1,R_10TpSVsbBhcxRWV,,,,,26.3676,127.7574,anonymous,EN,Yes,10/12/2022,,,,,,,,,3,3,3,3,4,3,Very much like me,Very much like me,Very much like me,Like me,3,4,3,4,4,7,7,a woman,,White/Caucasian,,High school graduate- high school diploma or the equivalent (e.g. GED),Retired military,Homemaker,4,"Biological Sciences- Genetics, Cell, and Developmental Biology (BS)",3rd year,No,,Yes
10/11/2022 23:27,10/11/2022 23:34,100,404,TRUE,10/11/2022 23:34,1,R_tGNXnCvBioqRmhj,,,,,30.0524,-95.3707,anonymous,EN,Yes,10/12/2022,,,,,,,,,"absolutely confident
5
","absolutely confident
5
","absolutely confident
5
","absolutely confident
5
","absolutely confident
5
","absolutely confident
5
",Very much like me,Very much like me,Very much like me,Like me,"Strongly agree
5","Strongly agree

5","Strongly agree
5","Strongly agree
5","Strongly agree
5","Definitely will
10
","Definitely will
10
",a man,,White/Caucasian,,Some college,Auditing (healthcare professionals),Sales (oil-field),3.75,Medicinal Chemistry & Neuroscience (concurrent),5th year or more,Yes,Developing automation using Python for a program that calculates partition coefficients for small molecules from molecular dynamics simulations,Yes
10/12/2022 5:33,10/12/2022 5:39,100,374,TRUE,10/12/2022 5:39,1,R_2PtyN9Gx9wPvQhU,,,,,37.2872,127.0116,anonymous,EN,Yes,20221012,,,,,,,,,4,3,3,3,4,4,Like me,Very much like me,Like me,Very much like me,"Strongly agree
5","Strongly agree

5","Strongly agree
5","Strongly agree
5","Strongly agree
5",6,5,a woman,,White/Caucasian,,"Bachelor's degree (e.g. BA, BS)",unemployed/disability,water park manager,3.05,Biological Sciences,4th year,No,,Yes
10/12/2022 7:31,10/12/2022 7:36,100,281,TRUE,10/12/2022 7:36,1,R_cOQUgRUPpzJHG01,,,,,33.6139,-84.0657,anonymous,EN,Yes,10/12/2022,,,,,,,,,4,4,4,3,"absolutely confident
5
",3,Like me,Very much like me,Like me,Somewhat like me,"Strongly agree
5",4,"Strongly agree
5","Strongly agree
5","Strongly agree
5","Definitely will
10
","Definitely will
10
",a woman,,Black or African American,,Some college,Receptionist,unknown,3.41,Biology,5th year or more,No,,Yes
