Student,Question,prescore,postscore,delta,Trend
Student11,CodingQuestion,-2,-1,1,More comfortable
Student7,CodingQuestion,1,1,0,No change
Student14,CodingQuestion,2,2,0,No change
Student30,CodingQuestion,3,1,-2,Less Comfortable
Student43,CodingQuestion,3,2.5,-0.5,Less Comfortable
Student27,CodingQuestion,2,2,0,No change
Student31,CodingQuestion,-2.5,-2.5,0,No change
Student36,CodingQuestion,3,3,0,No change
Student15,CodingQuestion,-1,1,2,More comfortable
Student26,CodingQuestion,3,3,0,No change
Student38,CodingQuestion,2,1,-1,Less Comfortable
Student10,CodingQuestion,2,3,1,More comfortable
Student6,CodingQuestion,2,2,0,No change
Student29,CodingQuestion,3,3,0,No change
Student45,CodingQuestion,1,2,1,More comfortable
Student22,CodingQuestion,3,2,-1,Less Comfortable
Student44,CodingQuestion,2,0,-2,Less Comfortable
Student12,CodingQuestion,3,3,0,No change
Student32,CodingQuestion,2,3,1,More comfortable
Student40,CodingQuestion,0,2,2,More comfortable
Student17,CodingQuestion,2,2,0,No change
Student2,CodingQuestion,2,2.5,0.5,More comfortable
Student19,CodingQuestion,2,3,1,More comfortable
Student34,CodingQuestion,3,3,0,No change
Student42,CodingQuestion,2,2,0,No change
Student4,CodingQuestion,-1,1,2,More comfortable
Student21,CodingQuestion,1,3,2,More comfortable
Student1,CodingQuestion,1,-1,-2,Less Comfortable
Student28,CodingQuestion,-1,0,1,More comfortable
Student20,CodingQuestion,3,-2.5,-5.5,Less Comfortable
Student39,CodingQuestion,-1,-1,0,No change
Student41,CodingQuestion,2,2,0,No change
Student8,CodingQuestion,2,3,1,More comfortable
Student37,CodingQuestion,2,2,0,No change
Student13,CodingQuestion,2,2.5,0.5,More comfortable
Student18,CodingQuestion,3,3,0,No change
Student9,CodingQuestion,3,2,-1,Less Comfortable
Student33,CodingQuestion,1,-2,-3,Less Comfortable
Student3,CodingQuestion,3,-1,-4,Less Comfortable
Student24,CodingQuestion,2,1.5,-0.5,Less Comfortable
Student5,CodingQuestion,-3,-3,0,No change
Student23,CodingQuestion,2,2,0,No change
Student16,CodingQuestion,2,2,0,No change
Student35,CodingQuestion,3,3,0,No change
Student25,CodingQuestion,3,2,-1,Less Comfortable
Student11,CommandLine_Linux,-3,-2,1,More comfortable
Student7,CommandLine_Linux,1,2,1,More comfortable
Student14,CommandLine_Linux,2,2,0,No change
Student30,CommandLine_Linux,3,3,0,No change
Student43,CommandLine_Linux,3,2,-1,Less Comfortable
Student27,CommandLine_Linux,2,2,0,No change
Student31,CommandLine_Linux,-1,1.5,2.5,More comfortable
Student36,CommandLine_Linux,1.5,3,1.5,More comfortable
Student15,CommandLine_Linux,2,1,-1,Less Comfortable
Student26,CommandLine_Linux,1,2,1,More comfortable
Student38,CommandLine_Linux,1.5,2,0.5,More comfortable
Student10,CommandLine_Linux,1,1,0,No change
Student6,CommandLine_Linux,2,2,0,No change
Student29,CommandLine_Linux,1.5,2,0.5,More comfortable
Student45,CommandLine_Linux,2,2,0,No change
Student22,CommandLine_Linux,1,2,1,More comfortable
Student44,CommandLine_Linux,2,2,0,No change
Student12,CommandLine_Linux,2,3,1,More comfortable
Student32,CommandLine_Linux,1,1.5,0.5,More comfortable
Student40,CommandLine_Linux,2,2,0,No change
Student17,CommandLine_Linux,1.5,0,-1.5,Less Comfortable
Student2,CommandLine_Linux,1,1.5,0.5,More comfortable
Student19,CommandLine_Linux,1,-1,-2,Less Comfortable
Student34,CommandLine_Linux,1,1.5,0.5,More comfortable
Student42,CommandLine_Linux,1,1,0,No change
Student4,CommandLine_Linux,1,2,1,More comfortable
Student21,CommandLine_Linux,-1,-2,-1,Less Comfortable
Student1,CommandLine_Linux,2,1,-1,Less Comfortable
Student28,CommandLine_Linux,1,1.5,0.5,More comfortable
Student20,CommandLine_Linux,3,-2.5,-5.5,Less Comfortable
Student39,CommandLine_Linux,-1,2,3,More comfortable
Student41,CommandLine_Linux,0,-1,-1,Less Comfortable
Student8,CommandLine_Linux,2,-2,-4,Less Comfortable
Student37,CommandLine_Linux,1,1,0,No change
Student13,CommandLine_Linux,1,0,-1,Less Comfortable
Student18,CommandLine_Linux,3,2,-1,Less Comfortable
Student9,CommandLine_Linux,2,3,1,More comfortable
Student33,CommandLine_Linux,0,-2,-2,Less Comfortable
Student3,CommandLine_Linux,2,1,-1,Less Comfortable
Student24,CommandLine_Linux,2,1,-1,Less Comfortable
Student5,CommandLine_Linux,-3,-1,2,More comfortable
Student23,CommandLine_Linux,2,1,-1,Less Comfortable
