student,prescore,postscore,delta
Student1,0.61,0.66,0.05
Student2,0.6267,0.655,0.0283
Student3,0.5333,0.66,0.1267
Student4,0.62,0.66,0.04
Student5,0.58,0.56,-0.02
Student6,0.625,0.7,0.075
Student7,0.64,0.7217,0.0817
Student8,0.6,0.61,0.01
Student9,0.57,0.61,0.04
Student10,0.6,0.6617,0.0617
Student11,0.56,0.6117,0.0517
Student12,0.6033,0.66,0.0567
Student13,0.65,0.6533,0.0033
Student14,0.67,0.71,0.04
Student15,0.64,0.67,0.03
Student16,0.63,0.69,0.06
Student17,0.6667,0.6317,-0.035
Student18,0.65,0.69,0.04
Student19,0.67,0.7,0.03
Student20,0.515,0.6583,0.1433
Student21,0.535,0.63,0.095
Student22,0.6117,0.6417,0.03
Student23,0.67,0.66,-0.01
Student24,0.6717,0.6733,0.0016
Student25,0.6217,0.7117,0.09
Student26,0.59,0.5917,0.0017
Student27,0.58,0.61,0.03
Student28,0.6217,0.6717,0.05
Student29,0.7233,0.72,-0.0033
Student30,0.69,0.66,-0.03
Student31,0.5217,0.6233,0.1016
Student32,0.5983,0.585,-0.0133
Student33,0.6233,0.61,-0.0133
Student34,0.5717,0.575,0.0033
Student35,0.6117,0.65,0.0383
Student36,0.6117,0.6517,0.04
Student37,0.67,0.6917,0.0217
Student38,0.62,0.6,-0.02
Student39,0.56,0.59,0.03
Student40,0.6617,0.6917,0.03
Student41,0.64,0.7,0.06
Student42,0.6,0.63,0.03
Student43,0.6217,0.6783,0.0566
Student44,0.6433,0.6117,-0.0316
Student45,0.6,0.69,0.09
