Student,Type,Question,Score
Student11,postscore,CodingQuestion,-1
Student11,postscore,CommandLine_Linux,-2
Student11,postscore,ProgrammingR,-2
Student11,postscore,ReadingPaper,1.5
Student11,postscore,WritingPaper,2
Student7,postscore,CodingQuestion,1
Student7,postscore,CommandLine_Linux,2
Student7,postscore,ProgrammingR,2
Student7,postscore,ReadingPaper,1.5
Student7,postscore,WritingPaper,1
Student14,postscore,CodingQuestion,2
Student14,postscore,CommandLine_Linux,2
Student14,postscore,ProgrammingR,1
Student14,postscore,ReadingPaper,1
Student14,postscore,WritingPaper,1
Student30,postscore,CodingQuestion,1
Student30,postscore,CommandLine_Linux,3
Student30,postscore,ProgrammingR,3
Student30,postscore,ReadingPaper,3
Student30,postscore,WritingPaper,3
Student43,postscore,CodingQuestion,2.5
Student43,postscore,CommandLine_Linux,2
Student43,postscore,ProgrammingR,2.5
Student43,postscore,ReadingPaper,0.66
Student43,postscore,WritingPaper,2
Student27,postscore,CodingQuestion,2
Student27,postscore,CommandLine_Linux,2
Student27,postscore,ProgrammingR,-2
Student27,postscore,ReadingPaper,3
Student27,postscore,WritingPaper,2
Student31,postscore,CodingQuestion,-2.5
Student31,postscore,CommandLine_Linux,1.5
Student31,postscore,ProgrammingR,-2
Student31,postscore,ReadingPaper,1
Student31,postscore,WritingPaper,1
Student36,postscore,CodingQuestion,3
Student36,postscore,CommandLine_Linux,3
Student36,postscore,ProgrammingR,3
Student36,postscore,ReadingPaper,2.5
Student36,postscore,WritingPaper,2
Student15,postscore,CodingQuestion,1
Student15,postscore,CommandLine_Linux,1
Student15,postscore,ProgrammingR,1
Student15,postscore,ReadingPaper,3
Student15,postscore,WritingPaper,2
Student26,postscore,CodingQuestion,3
Student26,postscore,CommandLine_Linux,2
Student26,postscore,ProgrammingR,2
Student26,postscore,ReadingPaper,1
Student26,postscore,WritingPaper,0
Student38,postscore,CodingQuestion,1
Student38,postscore,CommandLine_Linux,2
Student38,postscore,ProgrammingR,-3
Student38,postscore,ReadingPaper,2
Student38,postscore,WritingPaper,2
Student10,postscore,CodingQuestion,3
Student10,postscore,CommandLine_Linux,1
Student10,postscore,ProgrammingR,1
Student10,postscore,ReadingPaper,3
Student10,postscore,WritingPaper,3
Student6,postscore,CodingQuestion,2
Student6,postscore,CommandLine_Linux,2
Student6,postscore,ProgrammingR,1
Student6,postscore,ReadingPaper,2
Student6,postscore,WritingPaper,1
Student29,postscore,CodingQuestion,3
Student29,postscore,CommandLine_Linux,2
Student29,postscore,ProgrammingR,3
Student29,postscore,ReadingPaper,3
Student29,postscore,WritingPaper,2
Student45,postscore,CodingQuestion,2
Student45,postscore,CommandLine_Linux,2
Student45,postscore,ProgrammingR,1
Student45,postscore,ReadingPaper,2
Student45,postscore,WritingPaper,1
Student22,postscore,CodingQuestion,2
Student22,postscore,CommandLine_Linux,2
Student22,postscore,ProgrammingR,2
Student22,postscore,ReadingPaper,2
Student22,postscore,WritingPaper,0
Student44,postscore,CodingQuestion,0
Student44,postscore,CommandLine_Linux,2
Student44,postscore,ProgrammingR,1
Student44,postscore,ReadingPaper,2
Student44,postscore,WritingPaper,-1
Student12,postscore,CodingQuestion,3
Student12,postscore,CommandLine_Linux,3
Student12,postscore,ProgrammingR,1
Student12,postscore,ReadingPaper,3
Student12,postscore,WritingPaper,3
Student32,postscore,CodingQuestion,3
Student32,postscore,CommandLine_Linux,1.5
Student32,postscore,ProgrammingR,1
Student32,postscore,ReadingPaper,2.5
Student32,postscore,WritingPaper,2.5
Student40,postscore,CodingQuestion,2
Student40,postscore,CommandLine_Linux,2
Student40,postscore,ProgrammingR,2
Student40,postscore,ReadingPaper,2.5
Student40,postscore,WritingPaper,2
Student17,postscore,CodingQuestion,2
Student17,postscore,CommandLine_Linux,0
Student17,postscore,ProgrammingR,2
Student17,postscore,ReadingPaper,2
Student17,postscore,WritingPaper,1
Student2,postscore,CodingQuestion,2.5
Student2,postscore,CommandLine_Linux,1.5
Student2,postscore,ProgrammingR,0
Student2,postscore,ReadingPaper,2
Student2,postscore,WritingPaper,-1
Student19,postscore,CodingQuestion,3
Student19,postscore,CommandLine_Linux,-1
Student19,postscore,ProgrammingR,-1
Student19,postscore,ReadingPaper,2
Student19,postscore,WritingPaper,1
Student34,postscore,CodingQuestion,3
Student34,postscore,CommandLine_Linux,1.5
Student34,postscore,ProgrammingR,1.5
Student34,postscore,ReadingPaper,-1
Student34,postscore,WritingPaper,-1.5
Student42,postscore,CodingQuestion,2
Student42,postscore,CommandLine_Linux,1
Student42,postscore,ProgrammingR,1
Student42,postscore,ReadingPaper,2
Student42,postscore,WritingPaper,-1
Student4,postscore,CodingQuestion,1
Student4,postscore,CommandLine_Linux,2
Student4,postscore,ProgrammingR,2
Student4,postscore,ReadingPaper,2
Student4,postscore,WritingPaper,1
Student21,postscore,CodingQuestion,3
Student21,postscore,CommandLine_Linux,-2
Student21,postscore,ProgrammingR,-2
Student21,postscore,ReadingPaper,1
Student21,postscore,WritingPaper,-1
Student1,postscore,CodingQuestion,-1
Student1,postscore,CommandLine_Linux,1
Student1,postscore,ProgrammingR,-1
Student1,postscore,ReadingPaper,2
Student1,postscore,WritingPaper,1
Student28,postscore,CodingQuestion,0
Student28,postscore,CommandLine_Linux,1.5
Student28,postscore,ProgrammingR,0.66
Student28,postscore,ReadingPaper,0
Student28,postscore,WritingPaper,0
Student20,postscore,CodingQuestion,-2.5
Student20,postscore,CommandLine_Linux,-2.5
Student20,postscore,ProgrammingR,-2.5
Student20,postscore,ReadingPaper,2.5
Student20,postscore,WritingPaper,2.5
Student39,postscore,CodingQuestion,-1
Student39,postscore,CommandLine_Linux,2
Student39,postscore,ProgrammingR,1
Student39,postscore,ReadingPaper,2
Student39,postscore,WritingPaper,-2
Student41,postscore,CodingQuestion,2
Student41,postscore,CommandLine_Linux,-1
Student41,postscore,ProgrammingR,-1
Student41,postscore,ReadingPaper,1
Student41,postscore,WritingPaper,-1
Student8,postscore,CodingQuestion,3
Student8,postscore,CommandLine_Linux,-2
Student8,postscore,ProgrammingR,-2
Student8,postscore,ReadingPaper,1
Student8,postscore,WritingPaper,1
Student37,postscore,CodingQuestion,2
Student37,postscore,CommandLine_Linux,1
Student37,postscore,ProgrammingR,1
Student37,postscore,ReadingPaper,1.5
Student37,postscore,WritingPaper,1
Student13,postscore,CodingQuestion,2.5
Student13,postscore,CommandLine_Linux,0
Student13,postscore,ProgrammingR,1
Student13,postscore,ReadingPaper,-3
Student13,postscore,WritingPaper,2
Student18,postscore,CodingQuestion,3
Student18,postscore,CommandLine_Linux,2
Student18,postscore,ProgrammingR,1
Student18,postscore,ReadingPaper,2
Student18,postscore,WritingPaper,2
Student9,postscore,CodingQuestion,2
Student9,postscore,CommandLine_Linux,3
Student9,postscore,ProgrammingR,-2
Student9,postscore,ReadingPaper,1
Student9,postscore,WritingPaper,1
Student33,postscore,CodingQuestion,-2
Student33,postscore,CommandLine_Linux,-2
Student33,postscore,ProgrammingR,-2
Student33,postscore,ReadingPaper,1
Student33,postscore,WritingPaper,-2
Student3,postscore,CodingQuestion,-1
Student3,postscore,CommandLine_Linux,1
Student3,postscore,ProgrammingR,1
Student3,postscore,ReadingPaper,3
Student3,postscore,WritingPaper,2
Student24,postscore,CodingQuestion,1.5
Student24,postscore,CommandLine_Linux,1
Student24,postscore,ProgrammingR,-2
Student24,postscore,ReadingPaper,2.5
Student24,postscore,WritingPaper,1
Student5,postscore,CodingQuestion,-3
Student5,postscore,CommandLine_Linux,-1
Student5,postscore,ProgrammingR,-3
Student5,postscore,ReadingPaper,-3
Student5,postscore,WritingPaper,-2
Student23,postscore,CodingQuestion,2
Student23,postscore,CommandLine_Linux,1
Student23,postscore,ProgrammingR,-1
Student23,postscore,ReadingPaper,2
Student23,postscore,WritingPaper,1
Student16,postscore,CodingQuestion,2
Student16,postscore,CommandLine_Linux,-1
Student16,postscore,ProgrammingR,-2
Student16,postscore,ReadingPaper,1
Student16,postscore,WritingPaper,1
Student35,postscore,CodingQuestion,3
Student35,postscore,CommandLine_Linux,2
Student35,postscore,ProgrammingR,2
Student35,postscore,ReadingPaper,2
Student35,postscore,WritingPaper,2
Student25,postscore,CodingQuestion,2
Student25,postscore,CommandLine_Linux,2
Student25,postscore,ProgrammingR,1
Student25,postscore,ReadingPaper,0
Student25,postscore,WritingPaper,-2
